timestamp,Voltage (mV),Current (uA),Power (uW),EC (uS/cm),VWC (%),Temperature (C)
 08 Jul 2023 20:00:00 GMT,-2.2126833577777774,-1.2146861199999999,0.00268771576264766,414.4444444444444444,-1.2128245087616032,19.966666666666665
 08 Jul 2023 21:00:00 GMT,-2.1987500794915253,-1.2078333284745761,0.002655723626995988,414.5862068965517241,-1.212456431812901,20
 08 Jul 2023 22:00:00 GMT,-2.179345597241379,-1.198707661724138,0.002612398264958009,414.1016949152542373,-1.2116273266340851,20.059322033898304
 08 Jul 2023 23:00:00 GMT,-2.1617424883050846,-1.1898353442372882,0.0025721176177248522,415.9491525423728814,-1.210858869120872,20.144067796610198
 09 Jul 2023 00:00:00 GMT,-2.1427548605084747,-1.1803143964406777,0.0025291244099013887,416.5593220338983051,-1.2099562288697063,20.233898305084736
 09 Jul 2023 01:00:00 GMT,-2.1176672677586215,-1.1665653524137929,0.0024703972625079898,416.8965517241379310,-1.2091837334027815,20.33103448275862
 09 Jul 2023 02:00:00 GMT,-2.102694293050848,-1.1583090649152548,0.00243556986038637,419.3559322033898305,-1.2085563375080552,20.4
 09 Jul 2023 03:00:00 GMT,-2.072799617118643,-1.1436292971186444,0.0023705143691931893,419.7966101694915254,-1.2081619704022766,20.494915254237288
 09 Jul 2023 04:00:00 GMT,-2.051760429322034,-1.1322482610169489,0.002323102178123262,420.9491525423728814,-1.2077745093302754,20.364406779660992
 09 Jul 2023 05:00:00 GMT,-2.012139835172414,-1.1123225115517241,0.0022381484350522517,421.0517241379310345,-1.2077753045040998,20.267241379310352
 09 Jul 2023 06:00:00 GMT,-1.9714371544067795,-1.092606338135593,0.0021540047301408446,421.7118644067796610,-1.2073540322022045,20.198305084745783
 09 Jul 2023 07:00:00 GMT,-1.9220783467796614,-1.0671086840677964,0.0020510664953072503,422.9152542372881356,-1.2073739973448985,20.103389830508473
 09 Jul 2023 08:00:00 GMT,-1.8909202638983056,-1.0512890296610167,0.0019879037294000027,423.1724137931034483,-1.2075566641798654,20.02758620689655
 09 Jul 2023 09:00:00 GMT,-1.8585995556896548,-1.0355294129310346,0.00192463450677719,424.8644067796610169,-1.2074152557208657,19.95084745762712
 09 Jul 2023 10:00:00 GMT,-1.830690812881356,-1.020779280677966,0.0018687312511167914,425.2033898305084746,-1.2073784081023426,19.849152542372853
 09 Jul 2023 11:00:00 GMT,-1.8143217696610168,-1.0117144718644069,0.0018355755909846916,425.5084745762711864,-1.2074295042271663,19.755932203389847
 09 Jul 2023 12:00:00 GMT,-1.8095955553448275,-1.0096272041379304,0.001827016901163224,423.9827586206896552,-1.207389705015442,19.634482758620692
 09 Jul 2023 13:00:00 GMT,-1.8382378898305092,-1.024917087627119,0.0018840414244109065,424.3220338983050847,-1.2074070347987396,19.53898305084746
 09 Jul 2023 14:00:00 GMT,-1.8789120142372877,-1.0450371266101695,0.0019635328125118608,424.0677966101694915,-1.2077134364715736,19.432203389830505
 09 Jul 2023 15:00:00 GMT,-1.90108986220339,-1.0559437793220336,0.002007444013925852,424.5932203389830508,-1.207729587230229,19.399999999999995
 09 Jul 2023 16:00:00 GMT,-1.893873286724138,-1.0522209679310344,0.001992773182895602,424.8620689655172414,-1.207160751339465,19.39999999999999
 09 Jul 2023 17:00:00 GMT,-1.8589657206779657,-1.0347299532203393,0.0019235275131953256,425.7457627118644068,-1.206821409173148,19.399999999999995
 09 Jul 2023 18:00:00 GMT,-1.8065429691525423,-1.0083255881355935,0.0018215835018629584,426.7457627118644068,-1.2061577157383168,19.435593220338973
 09 Jul 2023 19:00:00 GMT,-1.7247386498275867,-0.9659594387931036,0.0016660275782522309,427.9137931034482759,-1.2055909665097482,19.505172413793098
 09 Jul 2023 20:00:00 GMT,-1.6132008089830507,-0.9104068542372883,0.0014686690737593078,428.6610169491525424,-1.2045323009965216,19.603389830508483
 09 Jul 2023 21:00:00 GMT,-1.477175872711864,-0.8407145772881355,0.0012418832894071875,429.4745762711864407,-1.2036282957522546,19.70000000000002
 09 Jul 2023 22:00:00 GMT,-1.294632978983051,-0.7477081669491522,0.0009680076515873374,429.7627118644067797,-1.2029738747510434,19.794915254237267
 09 Jul 2023 23:00:00 GMT,-1.0713060374576275,-0.6340099684745761,0.0006792187070351334,429.2542372881355932,-1.202217191683644,19.9
 10 Jul 2023 00:00:00 GMT,-0.7869185944827584,-0.4899012925862069,0.0003855124365972245,431.4655172413793103,-1.201101466014826,20.024137931034478
 10 Jul 2023 01:00:00 GMT,-0.4759406105084747,-0.3318916381355931,0.00015796070887691194,431.3389830508474576,-1.2003449646863773,20.14067796610172
 10 Jul 2023 02:00:00 GMT,-0.09578530694915255,-0.13978683762711866,0.000013389525149564907,432.9152542372881356,-1.1990194274805022,20.227118644067794
 10 Jul 2023 03:00:00 GMT,0.2725511877966102,0.047209537966101695,0.000012867015647990181,433.1355932203389831,-1.1982531991929446,20.32372881355932
 10 Jul 2023 04:00:00 GMT,0.6585026351724137,0.24395930982758618,0.00016064784839630884,434.5344827586206897,-1.1974879884074745,20.4
 10 Jul 2023 05:00:00 GMT,0.9584936469491526,0.39629138593220337,0.00037984277575669177,435.2203389830508475,-1.1965240397323964,20.38983050847456
 10 Jul 2023 06:00:00 GMT,1.2848575810169491,0.5614937705084745,0.0007214395277316046,435.5762711864406780,-1.1961984596162833,20.29999999999998
 10 Jul 2023 07:00:00 GMT,2.0718613576271183,0.961954564237288,0.0019930364894362703,436.4745762711864407,-1.195575339863128,20.29999999999998
